,action 0
2141,0.51
2142,0.42
2143,0.34
2144,0.32
2145,0.16
2146,0.09
2147,0.18
2148,0.21
2149,0.09
2150,0.22
2151,0.54
2152,0.74
2153,0.71
2154,0.69
2155,0.54
2156,0.32
2157,0.68
2158,1.17
2159,0.79
2160,0.89
2161,0.96
2162,1.05
2163,0.92
2164,0.73
2165,0.89
2166,0.9
2167,0.86
2168,0.86
2169,1.0
2170,1.48
2171,1.52
2172,0.99
2173,0.97
2174,0.81
2175,0.77
2176,0.73
2177,0.66
2178,0.83
2179,0.71
2180,0.72
2181,0.59
2182,0.96
2183,0.72
2184,0.69
2185,0.65
2186,0.61
2187,0.58
2188,0.71
2189,0.56
2190,0.53
2191,0.4
2192,0.39
2193,0.81
2194,0.51
2195,0.49
2196,0.63
2197,0.5
2198,0.62
2199,0.58
2200,0.47
2201,0.56
2202,0.28
2203,0.45
2204,0.6
2205,0.91
2206,0.6
2207,0.77
2208,0.72
2209,0.89
2210,0.63
2211,0.94
2212,0.56
2213,0.45
2214,0.05
2215,0.05
2216,0.13
2217,0.58
2218,0.46
2219,0.43
2220,0.34
2221,0.21
2222,0.25
2223,0.06
2224,0.16
2225,0.06
2226,0.11
2227,0.08
2228,0.08
2229,0.14
2230,0.21
2231,0.41
2232,0.12
2233,0.17
2234,0.11
2235,0.33
2236,0.2
2237,0.27
2238,0.26
2239,0.21
2240,0.21
2241,0.29
2242,0.38
2243,0.06
2244,0.22
2245,0.54
2246,0.78
2247,0.46
2248,0.21
2249,0.42
2250,0.72
2251,0.48
2252,0.06
2253,0.1
2254,0.02
2255,0.26
2256,0.08
2257,0.08
2258,0.06
2259,0.04
2260,0.09
2261,0.1
2262,0.11
2263,0.05
2264,0.12
2265,0.16
2266,0.05
2267,0.39
2268,0.35
2269,0.47
2270,0.53
2271,0.51
2272,0.62
2273,0.5
2274,0.8
2275,0.58
2276,1.13
2277,0.79
2278,0.44
2279,0.1
2280,0.03
2281,0.08
2282,0.02
2283,0.04
2284,0.06
2285,0.14
2286,0.03
2287,0.11
2288,0.83
2289,0.47
2290,0.35
2291,0.54
2292,0.29
2293,0.45
2294,0.38
2295,0.44
2296,0.62
2297,0.65
2298,0.96
2299,0.73
2300,0.67
2301,0.69
2302,0.5
2303,0.49
2304,0.5
2305,0.7
2306,0.88
2307,0.46
2308,0.83
2309,0.71
2310,0.35
2311,0.31
2312,0.27
2313,0.3
2314,0.52
2315,0.6
2316,0.12
2317,0.34
2318,0.74
2319,0.57
2320,0.76
2321,0.57
2322,0.41
2323,0.52
2324,0.43
2325,0.42
2326,0.6
2327,0.28
2328,0.65
2329,0.32
2330,0.26
2331,0.37
2332,0.33
2333,0.54
2334,0.49
2335,0.41
2336,0.51
2337,0.48
2338,0.41
2339,0.38
2340,0.46
2341,0.68
2342,0.59
2343,0.51
2344,0.37
2345,0.07
2346,0.29
2347,0.66
2348,0.45
2349,0.52
2350,0.54
2351,0.88
2352,0.71
2353,0.68
2354,0.83
2355,0.88
2356,0.88
2357,0.57
2358,0.73
2359,0.54
2360,0.58
2361,0.4
2362,0.63
2363,0.28
2364,0.25
2365,0.21
2366,0.23
2367,0.44
2368,0.47
2369,0.09
2370,0.37
2371,0.13
2372,0.11
2373,0.15
2374,0.33
2375,0.43
2376,0.4
2377,0.55
2378,0.34
2379,0.1
2380,0.14
2381,0.25
2382,0.23
2383,0.28
2384,0.31
2385,0.49
2386,0.22
2387,0.12
2388,0.19
2389,0.28
2390,0.25
2391,0.35
2392,0.24
2393,0.44
2394,0.59
2395,0.27
2396,0.26
2397,0.2
2398,0.25
2399,0.12
2400,0.19
2401,0.36
2402,0.32
2403,0.29
2404,0.2
2405,0.31
2406,0.38
2407,0.44
2408,0.6
2409,0.4
2410,0.66
2411,1.08
2412,1.33
2413,1.37
2414,0.71
2415,0.85
2416,0.4
2417,0.5
2418,0.11
2419,0.4
2420,0.15
2421,0.12
2422,0.11
2423,0.23
2424,0.16
2425,0.12
2426,0.35
2427,0.5
2428,0.56
2429,0.51
2430,0.26
2431,0.81
2432,0.86
2433,0.66
2434,0.59
2435,0.57
2436,0.77
2437,0.31
2438,0.45
2439,0.52
2440,0.43
2441,0.31
2442,0.15
2443,0.21
2444,0.11
2445,0.11
2446,0.19
2447,0.6
2448,0.85
2449,1.12
2450,0.41
2451,0.28
2452,0.39
2453,0.23
2454,0.1
2455,0.12
2456,0.37
2457,0.55
2458,1.71
2459,0.7
2460,1.21
2461,1.29
2462,1.13
2463,0.77
2464,1.22
2465,0.95
2466,0.47
2467,0.06
2468,0.28
2469,0.37
2470,0.59
2471,0.46
2472,0.15
2473,0.12
2474,0.21
2475,0.11
2476,0.17
2477,0.29
2478,0.46
2479,0.25
2480,0.61
2481,0.32
2482,0.42
2483,0.35
2484,0.6
2485,0.73
2486,0.72
2487,0.73
2488,0.63
2489,0.62
2490,0.47
2491,0.42
2492,0.43
2493,0.41
2494,0.28
2495,0.38
2496,0.4
2497,0.13
2498,0.44
2499,0.49
2500,0.26
